,show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
4627,s4613,Movie,Rohan Joshi: Wake N Bake,Angshuman Ghosh,Rohan Joshi,India,2019,16+,57 min,Comedy,"“Hysterical”, “unmissable”, “magnificent” are all words. Wake N Bake, Rohan Joshi’s first stand-up special also has words. Words about life in one’s thirties, mediocre education, home renovation, and 420-friendly living. Some of those words are even funny. It’s an hour of comedy you’ll never forget for five minutes."
4634,s4621,Movie,Adithya Varma,Gireesaaya,"Dhruv Vikram, Banita Sandhu, Priya Anand, Anbu",India,2019,18+,165 min,"Drama, International",Adithya Varma a short tempered house surgeon gets into a self-destructive phase addicting to drugs and alcohol when his girlfriend is forced to marry another person.
4637,s4624,Movie,Wajah Tum Ho,Vishal Pandya,"Sana Khaan, Sharman Joshi, Zarine Khan, Sherlyn Chopra, Rajneesh Duggal, Gurmeet Choudhary, Prarthana Behere",India,2016,18+,131 min,"International, Suspense",A hooded vigilante is broadcasting murders on a news channel. Will the police catch him alive before he live-casts another death?
4641,s4628,Movie,Teraa Surroor,Shawn Arranha,"Himesh Reshammiya, Farah Karimaee, Naseeruddin Shah, Shekhar Kapur, Shernaz Patel, Monica Dogra, Kabir Bedi, Suneel Dutt, Graham Molloy, Ann Marie O'Connor, Richard O'Leary, Warren Renwick, Degnan Geraghty, Maneesh Chandra Bhatt, Abhishek Duhan",India,2016,13+,100 min,"Action, Drama, Romance","Tara Wadia (Farah Karimaee), a singer and girlfriend of a gangster Raghu (Himesh Reshammiya) lives with her mother (Shernaz Patel). She goes to Dublin where she gets detained after being caught with drugs. Tara calls Raghu for help and now Raghu must help her and find Anirudh Brahman, the stranger who met Tara on Facebook and invited her to Ireland."
4643,s4630,Movie,Simran,Hansal Mehta,"Kangana Ranaut, Sohum Shah, Esha Tewari, Jason Louder, Aneesha Joshi, Mark Justice, Rupinder Nagra, Catherine Dyer, James Cole, Robin Dyke, Alexander Garganera, Timothy Ryan Hickernell, Manda Lee, Yajhayra Maria, Rusty Meyers, Robert Mitchel Owenby, Albert Roberts, Rich Robertson, Jeff Rose, Manesh k Singh",India,2017,13+,124 min,"Comedy, Drama","A socially criticized girl who is financially cornered, becomes an outlaw to dodge the situation."
4644,s4631,Movie,Sarbjit,Omung Kumar,"Randeep Hooda, Aishwarya Rai Bachchan, Richa Chadha, Darshan Kumar, Shiwani Saini, Ankita Shrivastav, Ankur Bhatia, Arbaaz Ali Khan, Ram Murti Sharma, Charanpreet Singh, Trishaan Singh",India,2016,13+,126 min,"Drama, International","Biopic of Sarabjit Singh, a farmer residing at Bhikiwind, Punjab, near the Indo-Pak border, crossed the border after having a couple of drinks. However, he was mistaken to be an Indian spy and was sentenced to capital punishment."
4647,s4634,Movie,Noor,Sunhil Sippy,"Sonakshi Sinha, Purab Kohli, Kanan Gill, Shibani Dandekar, Gareth Lawrence, Yulian Shchukin",India,2017,13+,116 min,"Action, Comedy, Drama",A journalist's life takes a dramatic turn when she comes across an eye-opening investigative news story.
4650,s4637,Movie,Junooniyat,Vivek Agnihotri,"Pulkit Samrat, Yami Gautam, Hrishitaa Bhatt, Aneesha Joshi, Taran Bajaj, Manoj Bakshi, Madhuri D. Bandiwedkar, Manann Dania, Gulshan Devaiah, Jaquiline Garewal, Gurpreet Kaur, Ravi Khemu, Sanjay Mehandiratta, Anoop Singh, Herry Tangiri, Khushboo Upadhyay",India,2016,G,122 min,"Drama, International, Romance","Captain Jahan Bakshi rescues a Punjabi girl, Suhani. This starts a friendship that evolves into a passionate love affair."
4652,s4639,Movie,Hindi Medium,Saket Chaudhary,"Irrfan Khan, Saba Qamar, Neha Dhupia, Amrita Singh, Deepak Dobriyal, Sanjana Sanghi, Rajesh Sharma, Tillotama Shome, Vijay Kumar Dogra, Sumit Gulati, Swati Das, Delzad Hiwale, Taran Bajaj, Angad Dev Dogra, Sanjay Suri, Rajiv Gupta, Charu Shankar, Mallika Dua, Fasih Safwi, Jaspal Sharma",India,2017,G,132 min,"Comedy, Drama, International",A couple want to give their daughter the best education so she will be accepted by the elite.
4653,s4640,Movie,Chef,Raja Menon,"Saif Ali Khan, Padmapriya, Dhanish Karthik, Ram Gopal Bajaj, Riju Bajaj, Pawan Chopra, Sobhita Dhulipala, Raghu Dixit, Svar Kamble, Michael Kelberg, Meghan Lane, Lynn Marocola, Jack Ricardo Miller, Shayan Munshi, Russell Peters, Dinesh Prabhakar, Chandan Roy Sanyal, Neha Saxena, Milind Soman, Tanya Thompson",India,2017,13+,131 min,"Comedy, Drama, International",Chef Roshan Kalra sets out to find the true source of happiness and reignite his passion for food while being more present in his son's life.
4654,s4641,Movie,Bhoomi,Omung Kumar,"Sanjay Dutt, Aditi Rao Hydari, Sharad Kelkar, Shekhar Suman, Rahul Verma Rajput, Sidhant Gupta, Riddhi Sen, Puru Chibber, Sunny Leone",India,2017,13+,133 min,"Action, Drama, International",A revenge drama that centers on the relationship between a father and daughter.
4661,s4648,Movie,Mumbai Saga,Sanjay Gupta,"John Abraham, Emraan Hashmi, Mahesh Manjrekar, Suniel Shetty, Kajal Agarwal, Pratiek Babbar, Gulshan Grover, Amole Gupte, Rohit Bose Roy",India,2021,18+,126 min,"Action, Drama","Mumbai Saga is the story of Amartya Rao who takes on the exploitative high and the mighty head-on, snatching his legitimate place under the sun. While on the face of it, Mumbai Saga is the story of the duel between Amartya Rao and Senior Inspector Vijay Sawarkar, it also is the story of hopes, aspirations, friendships and betrayals in the backdrop of early 90s."
4694,s4680,Movie,Ameluk - based on a story which could be true,Mimmo Mancini,"Rosanna Banfi, Paolo Sassanelli, Mehdi Mahdloo Torkaman, Mimmo Mancini, Claudia Lerro, Cosimo Cinieri, Francesca Giaccari, Dante Marmone, Roberto Nobile, Luigi Angiuli, Nadia Kibout, Pascal Zullino, Hedy Krissane, Miloud Mourad Benamara, Michele De Virgilio, Massimo Bagnasco",Italy,2015,13+,98 min,Comedy,"It's Good Friday. In Mariotto, a small town in Puglia, the Via Crucis is about to begin but the interpreter of Jesus sits on the crown of thorns. It is the beginning of the ordeal. The lighting technician, Jusuf, replaces him in the role of Christ but he is a Muslim. The news goes around the world, creating a pandemonium among the inhabitants of Mariotto. Who will restore the peace?"
4698,s4684,Movie,The Transporter Refueled,Camille Delamarre,"Ed Skrein, Ray Stevenson, Loan Chabanol, Gabriella Wright","France, China, Belgium, Monaco",2015,PG-13,96 min,Action,"Frank Martin, a former special-ops mercenary, is now living a less perilous life. But when he is engaged by a cunning femme-fatale, he must use his covert expertise and knowledge of fast cars, fast driving, and fast women in a dangerous game of chess."
4707,s4693,Movie,Manchester by the Sea,Kenneth Lonergan,"Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges, Gretchen Mol, Matthew Broderick",United States,2016,R,137 min,Drama,Casey Affleck leads an all-star cast in this acclaimed and poignant film about a solitary janitor whose life is transformed after he becomes the guardian of his 16-year-old nephew.
4720,s4706,Movie,Zaki Chan,Wael Ihsan,"Ahmed Helmy, Yasmin Abdulaziz",Egypt,2005,7+,109 min,"Comedy, Romance","Trouble follows Zaki wherever he goes, until he finds out that his father's boss needs a bodyguard for his kids and he decides to apply for the job even though he doesn't really fit the requirements."
4734,s4719,Movie,Rock On,Abhishek Kapoor,"Arjun Rampal, Farhan Akhtar, Luke Kenny, Purab Kohli, Prachi Desai, Shahana Goswami, Koel Purie, Nicolette Bird",India,2008,G,145 min,"Arts, Entertainment, and Culture, Drama, International","Four talented friends(Farhan Akthar, Purab Kholi, Arjun Rampal and Luke Kenny) pursue their passion making it big as a band, only to fail. Years later, fate brings them together with a second chance. After struggling through the rough patches, Adi, Joe, KD and Rob eventually form the country's best band, Magic and rock the nation with their outstanding live performances."
4739,s4723,Movie,Mike Case in: The Big Kiss Off,Justin Baird,"Les Mahoney, Debra Mayer, Devai Pearce, Atoy Wilson, Dale Shane, Erica Juliet (Ocampo), Suniil Sadarangani, Scott Ganyo, William Mitchell",United States,2013,18+,74 min,"Comedy, Suspense","Honest enough to trust. Crooked enough to get the job done. A film noir comedy about a private eye, a husband who wants to stay lost, and a wacky cast of characters."
4743,s4727,Movie,Karwaan,Akarsh Khurana,"Irrfan Khan, Mithila Palkar, Dulquer Salmaan, Kriti Kharbanda",India,2018,13+,114 min,"Comedy, Drama, International",Two friends and a chirpy teenager take a road trip from Bangalore to Kochi.
4750,s4734,Movie,Confessions of an Action Star,Brad Martin,"Lin Shaye, Daniel Bernhardt, Michael T. Weiss","United States, Austria",2009,13+,87 min,"Action, Comedy, Documentary","Only a whirlwind of celebrity cameos, high-octane stunts, and outrageous action-movie spoofs could tell the almost-true story of Frank Sledge: the world's greatest action star slash male dancer."
4762,s4749,Movie,The Manchurian Candidate (2004),Jonathan Demme,"Denzel Washington, Meryl Streep, Liev Schreiber, Jon Voight, Kimberly Elise, Jeffrey Wright, Ted Levine, Bruno Ganz, Simon McBurney, Vera Farmiga",United States,2004,R,130 min,"Drama, Science Fiction","As the entire nation watches the presidential campaign hurtle towards Election Day, one soldier (Denzel Washington) races to uncover the conspiracy behind it - a conspiracy that seeks to destroy democracy itself."
4794,s5110,Movie,Love me tender,Klaudia Reynicke,"Barbara Giordano, Antonio Bannò",Switzerland,2019,13+,82 min,"Comedy, Drama","Suffering from agoraphobia, Seconda is unable to leave her house. When she finally succeeds, new challenges push this assertive anti-super heroine's limits even further."
4829,s4813,Movie,Brother Nature,"Matt Villines, Oz Rodriguez","Taran Killam, Gillian Jacobs, Bobby Moynihan, Sarah Burns, Bill Pullman, Rita Wilson",United States,2016,R,97 min,"Adventure, Comedy",Roger (Taran Killam) a straight-laced politician has big plans to propose to his dream girl (Gillian Jacobs) at her family's lake house. But everything goes awry when he meets his potential brother-in-law Todd (Bobby Moynihan).
4838,s4822,Movie,The Double,Michael Brandt,"Richard Gere, Topher Grace, Martin Sheen, Stephen Moyer, Odette Yustman, Stana Katic, Tamer Hassan","United States, United Arab Emirates",2011,PG-13,98 min,"Action, Suspense","When a United States Senator is murdered, the evidence points to a Soviet assassin, who was long-thought to be dead."
4858,s4842,Movie,Guava Island,Hiro Murai,"Donald Glover, Rihanna",United States,2019,13+,56 min,"Arthouse, Drama, Suspense","On Guava Island, a local musician is determined to throw a festival for everyone to enjoy. A tropical thriller starring Donald Glover and Rihanna."
4879,s4863,Movie,Voyage to the Planet of Prehistoric Women,Peter Bogdanovich,"Mamie Van Doren, Mary Marr, Paige Lee, Gennadi Vernov, Margot Hartman, Peter Bogdanovich",United States,1968,13+,80 min,Science Fiction,"The first expedition to Venus discovers that the planet is inhabited by prehistoric creatures, man-eating plants and a race of beautiful, telepathic women."
4931,s4914,Movie,Goblin,Chris Lee,"Ashley Rene, Joe Cummings, Houston Towe, Weston Banning, David Mason, Patrick Giglio, Phoenix Hernandez, Babe McGuire, Rod Randolph, Wayne Lundy",United States,2020,18+,71 min,Horror,A young woman fights to protect her son from her abusive new husband and a ferocious creature lurking in the shadows.
4939,s4923,Movie,At Granny's House,Les Mahoney,"Rachel Alig, Bill Oberst Jr., Les Mahoney, Glenda Morgan Brown",United States,2015,18+,87 min,"Horror, Suspense","A typical Midwest house. A sweet little old lady. When a caretaker moves in to help out, Granny's House becomes a macabre place of death and love."
4944,s4928,Movie,Ta Ra Rum Pum,Siddharth Anand,"Rani Mukerji, Saif Ali Khan, Shruti Seth, Victor Banerjee, Dolly Bindra, Jaaved Jaaferi, Angelina Idnani, Ali Haji","United States, India",2007,G,156 min,"Drama, International, Kids","When RV (Saif Ali Khan) is spotted by Harry (Jaaved Jaafery) the Manager of a failing Racing car team, everything changes for RV and the team. They shoot to the top. The dream is complete when he meets Radhika (Rani Mukerji) and both tie the knot. But when he meets with an accident, he loses everything he had once gained. RV is on the road, but can he reclaim the glory for his family?"
5014,s4996,Movie,The Neon Demon,Nicolas Winding Refn,"Elle Fanning, Jena Malone, Abbey Lee, Bella Heathcote, Karl Glusman, Keanu Reeves","United States, Belgium, Denmark, France",2016,R,117 min,"Horror, Suspense","When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a gropup a beauty-obsessed women who will use any means necessary to get what she has."
5022,s5004,Movie,Without a Paddle: Nature's Calling,Ellory Elkayem,"Oliver James, Kristopher Turner, Amber McDonald, Rik Young, Jerry Rice, Madison Riley",United States,2009,PG-13,91 min,"Action, Adventure, Comedy","Zach talks Ben into taking off time to go on an adventure of a lifetime. Our two fiends head out on the river, along with an uptight Brit to find Ben's long lost love."
